id,epoch,val_loss,val_acc,loss,acc
0x83bb1fee2977523,9,0.0793,0.5111,0.0917,0.4381
0x83bb1fee2977523,10,0.0777,0.6,0.0903,0.5143
0x23fe6c6eb036b049,1,0.0923,0.5111,0.1035,0.4476
0x23fe6c6eb036b049,2,0.08900000000000001,0.5111,0.0754,0.6476
0x23fe6c6eb036b049,3,0.1098,0.5111,0.0641,0.6952
0x23fe6c6eb036b049,4,0.0553,0.7111,0.0536,0.7238
0x23fe6c6eb036b049,5,0.0544,0.6889,0.0529,0.7333
0x23fe6c6eb036b049,6,0.0488,0.7111,0.0452,0.7905
0x23fe6c6eb036b049,7,0.0378,0.7778,0.0351,0.8667
0x23fe6c6eb036b049,8,0.0844,0.5111,0.0481,0.7429
0x23fe6c6eb036b049,9,0.0569,0.6889,0.0358,0.8476
0x23fe6c6eb036b049,10,0.0215,0.9556,0.0283,0.8952
0x9b8b0f4a9d2380f,1,0.1259,0.2,0.1291,0.3333
0x9b8b0f4a9d2380f,2,0.1016,0.5111,0.0918,0.5619
0x9b8b0f4a9d2380f,3,0.0836,0.5111,0.0652,0.7238
0x9b8b0f4a9d2380f,4,0.0881,0.5111,0.0681,0.6667
0x9b8b0f4a9d2380f,5,0.0798,0.5111,0.0566,0.7143
0x9b8b0f4a9d2380f,6,0.0705,0.5111,0.048,0.7809999999999999
0x9b8b0f4a9d2380f,7,0.0371,0.8889,0.0509,0.7524
0x9b8b0f4a9d2380f,8,0.0409,0.7778,0.054000000000000006,0.7429
0x9b8b0f4a9d2380f,9,0.0396,0.8,0.0388,0.8286
0x9b8b0f4a9d2380f,10,0.0522,0.7111,0.0253,0.8952
0x1fd35680743b8d52,1,0.12,0.4889,0.1089,0.3429
0x1fd35680743b8d52,2,0.1082,0.5111,0.0944,0.7238
0x1fd35680743b8d52,3,0.0961,0.5111,0.0831,0.7333
0x1fd35680743b8d52,4,0.0871,0.5111,0.0754,0.7333
0x1fd35680743b8d52,5,0.0841,0.5111,0.0699,0.7333
0x1fd35680743b8d52,6,0.0795,0.5111,0.0653,0.7333
0x1fd35680743b8d52,7,0.0791,0.5111,0.0614,0.7333
0x1fd35680743b8d52,8,0.0741,0.5111,0.0578,0.7333
0x1fd35680743b8d52,9,0.0758,0.5111,0.0553,0.7333
0x1fd35680743b8d52,10,0.0724,0.5111,0.0523,0.7333
0x20b68666b7c00bf7,1,0.0967,0.5111,0.0974,0.4095
0x20b68666b7c00bf7,2,0.0848,0.5111,0.0826,0.6381
0x20b68666b7c00bf7,3,0.0704,0.5111,0.0621,0.7714
0x20b68666b7c00bf7,4,0.0687,0.5111,0.0566,0.6667
0x20b68666b7c00bf7,5,0.0711,0.5111,0.0546,0.7333
0x20b68666b7c00bf7,6,0.0599,0.5111,0.0509,0.7238
0x20b68666b7c00bf7,7,0.0617,0.5111,0.0465,0.7619
0x20b68666b7c00bf7,8,0.0509,0.7333,0.0384,0.8095
0x20b68666b7c00bf7,9,0.0601,0.5333,0.0372,0.8286
0x20b68666b7c00bf7,10,0.0434,0.7778,0.0355,0.8190000000000001
0x38d740ccd7634ec,1,0.0909,0.5778,0.115,0.4476
0x38d740ccd7634ec,2,0.0995,0.5111,0.1231,0.3619
0x38d740ccd7634ec,3,0.0869,0.5111,0.1168,0.419
